runID,runStart,runStop,runDuration,runCTime,eventSizeMiB,host,numReduced,version,reduxStart,logCTime,longAlgo,algoSec,loadSecTotal,loadNexusSecTotal,reduxEstTime,meas-redux
HB2C_1238915,2024-02-28T13:04:28,2024-02-28T13:04:50,21.5,2024-02-28T13:04,4.3,autoreducer4.sns.gov,0,6.9.20240226.1932,2024-02-28T18:04Z,2024-02-28T13:04,UNKNOWN,0.0,0.0,0.0,0.0,21.5
HB2C_1238907,2024-02-28T12:42:55,2024-02-28T12:43:39,44.3,2024-02-28T12:43,5.5,autoreducer4.sns.gov,0,6.9.20240226.1932,2024-02-28T17:43Z,2024-02-28T12:44,LoadWANDSCD,39.3,40.0,0.0,48.8,-4.5
